,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout,ObvBreakout,ObvBreakDown,DepressObvBreakout,Keltner_Channel,Chande_MO
94,GMDCLTD,678241.0,148.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,Yes,,CMO > 25 and < 30 Strong Buy Signal => 26.73992128029261
95,GMRINFRA,8057918.0,40.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,Yes,,
96,GNFC,1547954.0,572.0,,,,,,Yes,No,No,,UpTrend,Yes,,,,Yes,,,,,,,,
97,GODREJCP,3020873.0,916.0,,,,,,No,No,Yes,No,DownTrend,,Yes,,,Yes,,,,,,Yes,,
98,GPIL,459769.0,400.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
99,GPPL,2392483.0,99.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 100,,,,,CMO greater than 25 Buy Signal 
100,GRANULES,508669.0,326.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
101,GREAVESCOT,641037.0,135.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
102,GRSE,636758.0,488.0,,,,,,No,Yes,No,Yes,DownTrend,Yes,,,,,Yes,,,,,,,
103,GSFC,2687940.0,138.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,,,
104,GSPL,1167742.0,276.0,,,,,,No,No,No,No,DownTrend,,Yes,,,Yes,,,,,,Yes,,CMO greater than 25 Buy Signal 
105,GTLINFRA,23703470.0,1.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
106,GUJGASLTD,2056198.0,490.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,Yes,,
107,HAL,644901.0,2511.0,,,,,,Yes,Yes,No,,DownTrend,Yes,,,,,,,,,,Yes,,
108,HATHWAY,1233783.0,17.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 19,,,,,
109,HAVELLS,2453128.0,1167.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,Yes,,,,21,,,,
110,HBLPOWER,1540756.0,103.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,Yes,,CMO > 25 and < 30 Strong Buy Signal => 29.032248724501983
111,HCC,39422167.0,21.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,63,,,,CMO greater than 25 Buy Signal 
112,HCLTECH,2294863.0,1044.0,,,,,,No,Yes,No,No,DownTrend,,,,,Yes,,,,,,,,
113,HDFC,2910348.0,2621.0,,,,,,No,Yes,No,No,DownTrend,,,,,,Yes,,,,,,,
114,HDFCBANK,5469233.0,1599.0,,,,,,No,Yes,No,No,DownTrend,,,,,,Yes,,,,,,,
115,HDFCLIFE,5704301.0,609.0,,,,,,No,No,No,No,DownTrend,,Yes,189,,Yes,,,,63,,,,CMO greater than 25 Buy Signal 
116,HEMIPROP,653967.0,108.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 113,,,,,
117,HFCL,5700048.0,74.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
118,HIKAL,572427.0,408.0,,,,,,No,No,Yes,Yes,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
119,HIMATSEIDE,301813.0,80.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,Yes,,,
120,HINDALCO,7084374.0,465.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,Yes,,
121,HINDCOPPER,2871751.0,115.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,Yes,,CMO > 25 and < 30 Strong Buy Signal => 29.15919764485262
122,HINDPETRO,5628889.0,245.0,,,,,,No,No,No,Yes,UpTrend,,Yes,,Yes,Yes,,,,63,,,,CMO greater than 25 Buy Signal 
123,HINDUNILVR,2008280.0,2583.0,,"Bullish TrustingLine pattern ... 
 Entry on current Close and exit on next 5th candle close 
stop_loss only on days close = 2536.1",,,,No,No,Yes,,DownTrend,Yes,,,,,Yes,,,,,Yes,,CMO less than -25 Sell Signal 
124,HINDZINC,1187196.0,337.0,,,,,,No,No,No,No,DownTrend,,Yes,2510,,Yes,,,,63,,,,CMO greater than 25 Buy Signal 
125,HSCL,1171437.0,97.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
126,HUDCO,6479223.0,52.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,Yes,,
127,IBREALEST,8231305.0,77.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
128,IBULHSGFIN,14118642.0,144.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,,,
129,ICICIBANK,16541072.0,879.0,,,,,,No,No,No,,DownTrend,,,,,,Yes,,,,Yes,,,
130,ICICIGI,671470.0,1277.0,,,,,,No,No,Yes,No,DownTrend,,Yes,,,Yes,,,,,,,,CMO greater than 25 Buy Signal 
131,ICICIPRULI,1070670.0,471.0,,,,,,No,No,No,,UpTrend,,Yes,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
132,IDBI,11117279.0,54.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,Yes,,CMO > 25 and < 30 Strong Buy Signal => 25.764197086237807
133,IDEA,97523766.0,7.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
134,IDFC,8172077.0,84.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,Yes,,
135,IDFCFIRSTB,25808706.0,60.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,,,,,,
136,IEX,2393342.0,140.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
137,IFCI,10292355.0,14.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,,,,,,,,
