,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone
141,INDIANB,1506797.0,294.0,No,Yes,No,Yes,,,,Yes,,,,
142,INDIGO,849872.0,2037.0,No,No,Yes,Yes,,,Yes,,,,,
143,INDUSINDBK,2363861.0,1215.0,No,No,Yes,Yes,,,,Yes,,,,
144,INDUSTOWER,1219288.0,186.0,No,No,No,Yes,,,,,,,,
145,INFIBEAM,5033895.0,16.0,No,No,No,Yes,,,,,,,,
146,INFY,9866513.0,1475.0,No,Yes,No,,,,,Yes,,Yes,,
147,INOXWIND,149690.0,107.0,No,No,No,Yes,,,,,,,,
148,IOB,53321677.0,31.0,No,No,No,Yes,,,,,,,,
149,IOC,14446182.0,79.0,No,No,No,,Yes,,Yes,,,,,
150,IOLCP,189516.0,366.0,No,No,Yes,Yes,,,,,,,,
151,IRB,8945214.0,308.0,No,No,Yes,Yes,,,Yes,,,,,
152,IRCON,6747547.0,60.0,No,No,No,Yes,,,,Yes,,,,
153,IRCTC,860406.0,637.0,No,No,No,Yes,,,,,,,,
154,IRFC,45677807.0,32.0,No,No,No,Yes,,,,,,,,
155,ITC,8166809.0,333.0,No,No,No,,,,,,,,,
156,J&KBANK,5303308.0,56.0,No,No,No,Yes,,,,Yes,,,,
157,JAICORPLTD,796400.0,144.0,No,No,No,Yes,,,,,,,,
158,JAMNAAUTO,426080.0,104.0,No,No,No,Yes,,,,,,,,
159,JBMA,1945977.0,547.0,No,No,Yes,,Yes,126,Yes,,63,,,
160,JINDALSAW,7382714.0,113.0,No,No,No,,Yes,,Yes,,63,,,
161,JINDALSTEL,3140508.0,593.0,No,Yes,Yes,Yes,,,,Yes,,,,
162,JINDWORLD,659839.0,445.0,No,Yes,Yes,Yes,,,Yes,,,,,
163,JISLJALEQS,1728763.0,32.0,No,No,No,Yes,,,,,,,,
164,JKPAPER,597446.0,416.0,No,No,No,Yes,,,,Yes,,,,
165,JKTYRE,10452486.0,197.0,No,No,No,Yes,,,Yes,,,,,
166,JMFINANCIL,540201.0,71.0,No,No,No,Yes,,,,,,,,
167,JPASSOCIAT,9956099.0,10.0,No,No,No,Yes,,,,,,,,
168,JPPOWER,28083222.0,7.0,No,No,No,Yes,,,,,,,,
169,JSL,814314.0,237.0,No,Yes,Yes,Yes,,,,Yes,,,,
170,JSWENERGY,320575.0,281.0,No,No,No,Yes,,,,Yes,,,,
171,JSWISPL,825542.0,32.0,No,No,No,Yes,,,,Yes,,,,
172,JSWSTEEL,2451216.0,750.0,No,Yes,Yes,Yes,,,,Yes,,,,
173,JUBLFOOD,2848963.0,503.0,No,No,No,Yes,,,,Yes,,,,
174,JYOTHYLAB,608403.0,204.0,No,No,No,,,,,,,,,
175,KALYANKJIL,3905168.0,123.0,No,No,Yes,Yes,,,,,,,,
176,KARURVYSYA,4564820.0,111.0,No,No,No,Yes,,,,Yes,,,,
177,KNRCON,272364.0,263.0,No,No,No,Yes,,,,Yes,,,,
178,KOTAKBANK,1732415.0,1820.0,No,No,No,,,,,,,Yes,,
179,KPITTECH,571106.0,682.0,No,Yes,No,Yes,,,,,,,,
180,KTKBANK,1047201.0,154.0,No,Yes,No,Yes,,,,Yes,,,,
181,L&TFH,6157277.0,88.0,No,No,No,Yes,,,,,,,,
182,LAURUSLABS,769211.0,378.0,No,No,No,Yes,,,,,,,,
183,LEMONTREE,3146706.0,78.0,No,No,No,Yes,,,,,,,,
184,LICHSGFIN,3000211.0,420.0,No,No,Yes,Yes,,,Yes,,,Yes,,
185,LICI,1599210.0,727.0,,No,Yes,Yes,,,,Yes,,,,
186,LT,1881198.0,2087.0,No,Yes,Yes,Yes,,,,Yes,,,,
187,LUPIN,618372.0,742.0,No,Yes,No,Yes,,,,Yes,,,,
188,M&M,2745041.0,1252.0,Yes,No,No,Yes,,,,Yes,,,,
189,M&MFIN,7173871.0,235.0,No,No,No,Yes,,,Yes,,,,,
190,MAHABANK,35823431.0,31.0,No,No,No,Yes,,,,Yes,,,,
191,MAHINDCIE,598484.0,340.0,No,No,Yes,Yes,,,,Yes,63,,,Yes
192,MANAPPURAM,5399406.0,120.0,No,No,No,Yes,,,,Yes,,,,
193,MARICO,2901668.0,515.0,No,No,Yes,,,,,Yes,,,,
194,MARKSANS,618583.0,58.0,No,No,No,,,,,,,,,
195,MARUTI,417612.0,8461.0,Yes,No,No,Yes,,,,Yes,,,,Yes
196,MAXHEALTH,1176596.0,440.0,No,No,No,Yes,,,,Yes,,,,
197,MAZDOCK,2698759.0,814.0,No,Yes,No,Yes,,,,Yes,,,,
198,MCDOWELL-N,1124927.0,850.0,No,Yes,No,Yes,,,,Yes,,Yes,,
199,MFSL,2351151.0,735.0,No,No,No,,Yes,21,Yes,,,,,Yes
200,MIDHANI,262145.0,218.0,No,No,No,Yes,,,,Yes,,,,
201,MMTC,5714395.0,37.0,No,No,No,Yes,,,,Yes,,,,
202,MOREPENLAB,6452305.0,35.0,No,No,No,Yes,,,,,,,,
203,MOTHERSON,4882174.0,75.0,No,No,No,Yes,,,,Yes,,,,
204,MRPL,1460928.0,56.0,No,No,No,Yes,,,,,,,,
205,MSUMI,1683661.0,56.0,,No,No,Yes,,,,,,,,
206,MUTHOOTFIN,389879.0,1081.0,No,Yes,No,,,,,Yes,,,,
207,NATIONALUM,18649553.0,81.0,No,No,No,Yes,,,Yes,,,,,
208,NAVA,768728.0,246.0,No,No,Yes,Yes,,,,Yes,,,,
