,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone,SellingClimax,PickVolumeBreakout
231,PARADEEP,1553132,59,,No,No,,,,,,,Yes,,,,,,
232,PAYTM,1210847,535,No,No,No,,,,,,,Yes,,,,,,
233,PCBL,437658,131,No,No,No,,,,,,,,,,,,,
234,PETRONET,1173254,216,No,No,No,,,,,,,Yes,,,,,,
235,PFC,30687824,156,No,No,No,,,,,,Yes,,63,,,,,
236,PNB,78519939,57,No,No,No,,,,,,,Yes,63,,,,,
237,PNBHOUSING,3761580,573,No,Yes,Yes,,,,,,Yes,,,,,,,
238,PNCINFRA,1833851,307,No,No,No,,,,,,Yes,,,,,,,
239,POLICYBZR,973467,453,No,No,Yes,,,,,,,,,,,,,
240,POONAWALLA,2430680,303,No,No,No,,,,,,,Yes,,,,,,
241,POWERGRID,2154188,215,No,No,No,,,,,,,,,,,,,
242,PRAJIND,784980,366,No,No,No,,,,,,,Yes,,,,,,
243,PVR,118650,1714,Yes,No,No,,,,,,,,,,,,,
244,RAILTEL,1442013,128,No,No,No,,,,,,,Yes,,,,,,
245,RAIN,1967486,179,No,No,No,,,,,,Yes,,,,,,,
246,RAYMOND,363956,1495,Yes,Yes,Yes,,,,,,,Yes,,,,,,Before wait for breakout of resistance => 1608
247,RBLBANK,17645663,186,No,No,No,,,,,,Yes,,63,,,,,
248,RCF,6175073,130,No,No,No,,,,,,,Yes,,,,,,
249,RECLTD,27506440,123,No,No,No,,,,,,Yes,,63,,,,,
250,REDINGTON,4254906,190,No,No,No,,,,,,Yes,,,,,,,
251,RELIANCE,3532428,2557,No,Yes,No,,,,,,,,,,,,,
192,LUPIN,631501,737,No,Yes,No,,,,,,,,,,Yes,,,
253,RELINFRA,788196,138,No,No,No,,,,,,,,,,,,,
287,TATACONSUM,785340,767,No,No,No,,,,,,,,,,Yes,,,
255,RHIM,281809,864,Yes,Yes,Yes,,,,,,,Yes,,,,,,
256,RITES,445521,337,No,Yes,No,,,,,,,,,,,,,
257,RKFORGE,177607,261,No,No,Yes,,,,,,,Yes,,,,,,
258,RPOWER,11826529,14,No,No,No,,,,,,,,,,,,,
259,RTNINDIA,952038,43,No,No,No,,,,,,,,,,,,,
260,RTNPOWER,2741151,4,No,No,No,,,,,,,,,,,,,
261,RVNL,21671703,71,No,No,No,,,,,,Yes,,63,,,,,
262,SAIL,37845189,88,No,No,No,,,,,,Yes,,,,,,,
263,SBICARD,1083481,792,No,No,No,,,,,,,,,Yes,,,,
264,SBILIFE,1871260,1268,No,No,No,,,,,,Yes,,63,,,,,
265,SBIN,6816158,612,No,Yes,No,,,,,,,Yes,63,,,,,
266,SEQUENT,428640,87,No,No,No,,,,,,,,,,,,,Before wait for breakout of resistance => 94
267,SHARDACROP,197293,504,Yes,No,Yes,,,,,,,Yes,,,,,,
268,SHILPAMED,326313,286,No,No,No,,,,,,,Yes,,,,,,Before wait for breakout of resistance => 289
269,SHRIRAMFIN,436989,1370,No,No,Yes,,,,,,,Yes,,,,,,
270,SJVN,3573755,35,No,No,No,,,,,,,,,,,,,
271,SONACOMS,556643,415,No,No,No,,,,,,,,,,,,,
272,SOUTHBANK,133169991,20,No,No,No,,,,,,Yes,,,,,,,
273,SPICEJET,1855914,38,No,No,No,,,,,,,,,,,,,Before wait for breakout of resistance => 42
274,SRF,741035,2302,Yes,No,No,,,,,,,Yes,,,,,,
275,STAR,483668,366,No,No,Yes,,,,,,,Yes,,,,,,
276,STEELXIND,3400927,14,No,No,No,,,,,,,,,,,,,
277,STLTECH,559899,175,No,No,No,,,,,,,Yes,,,,,,Before wait for breakout of resistance => 186
278,SUBEXLTD,5063279,33,No,No,No,,,,,,,,,,,,,
279,SUNPHARMA,1809691,1009,No,Yes,No,,,,,,,Yes,,,,,,
280,SUNTV,1094764,486,No,No,No,,,,,,,Yes,,,,,,
281,SURYODAY,520870,121,No,No,No,,,,,,,Yes,,,,,,Before wait for breakout of resistance => 123
293,TECHM,1439523,1023,No,No,No,,,,,,,Yes,,,Yes,,,
283,SUZLON,125972890,10,No,No,No,,,,,,,,,,,,,
284,SWANENERGY,4251670,329,No,No,Yes,,,,,,Yes,,63,,,,,Today wait for breakout of resistance => 329.6499938964844
285,TATACHEM,497882,941,No,No,No,,,,,,,,,,,,,
286,TATACOMM,1068886,1336,No,Yes,No,,,,,,Yes,,,,,,,
52,CIPLA,952186,1075,No,No,No,,,,,,,,,,Yes,,,
288,TATAMOTORS,9424652,393,No,No,No,,,,,,,,,,,,,
289,TATAMTRDVR,866497,212,No,No,No,,,,,,,Yes,,,,,,
290,TATAPOWER,7232192,211,No,No,No,,,,,,,,,,,,,
291,TATASTEEL,74375885,118,No,No,No,,,,,,Yes,,,,,,,
292,TCS,1244685,3311,No,Yes,No,,,,,,,Yes,,,,,,
6,ADANITRANS,441126,2576,Yes,No,No,,,,,,,,,,Yes,,,
294,THOMASCOOK,486612,74,No,No,No,,,,,,,,,,,,,Before wait for breakout of resistance => 83
73,DIVISLAB,244582,3393,No,No,Yes,,,,,,,,,,Yes,,,
296,TIMETECHNO,2279992,95,No,No,No,,,,,,Yes,,63,,,,,
297,TITAN,852171,2613,Yes,No,No,,,,,,,Yes,,,,,,
298,TRENT,233728,1347,Yes,No,No,,,,,,,,,,,,,
299,TRIDENT,3503443,34,No,No,No,,,,,,,,,,,,,
300,TRITURBINE,1218086,244,No,Yes,No,,,,,,,Yes,,Yes,,,,
75,DRREDDY,162147,4238,No,Yes,No,,,,,,,,,,Yes,,,
302,TTML,1173787,91,No,No,No,,,,,,,,,,,,,
303,TV18BRDCST,3340255,37,No,No,No,,,,,,,,,,,,,
304,TVSMOTOR,2199185,1041,Yes,No,No,,,,,,,Yes,,,,,,Before wait for breakout of resistance => 1048
305,UCOBANK,70786050,32,No,No,No,,,,,,,,,,,,,
306,UJJIVANSFB,11656713,30,No,No,No,,,,,,,Yes,,,,,,
307,UNIONBANK,20938395,82,No,No,No,,,,,,,,,,,,,
308,UPL,1276849,719,No,No,No,,,,,,,,,Yes,,,,
309,USHAMART,3319139,190,No,No,No,,,,,,Yes,,63,,,,,
310,UTIAMC,409959,846,No,No,Yes,,,,,,,Yes,,,,,,Before wait for breakout of resistance => 859
311,VAKRANGEE,1858049,28,No,No,No,,,,,,,Yes,,,,,,
