,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,VPConvergence,VPDivergence,ObvBreakout,ObvBreakDown,DepressObvBreakout,LifeTimeHighZone
277,STLTECH,559899.0,175.0,No,No,No,Yes,,,,Yes,,,,
278,SUBEXLTD,5063279.0,33.0,No,No,No,Yes,,,,,,,,
279,SUNPHARMA,1809691.0,1009.0,No,Yes,No,,,,,Yes,,,,
280,SUNTV,1094764.0,486.0,No,No,No,Yes,,,,Yes,,,,
281,SURYODAY,520870.0,121.0,No,No,No,Yes,,,,Yes,,,,
282,SUVENPHAR,1420089.0,493.0,No,No,No,,,,Yes,,,,,
283,SUZLON,125972890.0,10.0,No,No,No,Yes,,,,,,,,
284,SWANENERGY,4251670.0,329.0,No,No,Yes,,Yes,2510,Yes,,63,,,
285,TATACHEM,497882.0,941.0,No,No,No,Yes,,,,,,,,Yes
286,TATACOMM,1068886.0,1336.0,No,Yes,No,,,,Yes,,,,,Yes
287,TATACONSUM,785340.0,767.0,No,No,No,Yes,,,,,,,,
288,TATAMOTORS,9424652.0,393.0,No,No,No,Yes,,,,,,,,
289,TATAMTRDVR,866497.0,212.0,No,No,No,Yes,,,,Yes,,,,
290,TATAPOWER,7232192.0,211.0,No,No,No,Yes,,,,,,,,
291,TATASTEEL,74375885.0,118.0,No,No,No,Yes,,,Yes,,,,,
292,TCS,1244685.0,3311.0,No,Yes,No,,,,,Yes,,,,Yes
293,TECHM,1439523.0,1023.0,No,No,No,,,,,Yes,,,,
294,THOMASCOOK,486612.0,74.0,No,No,No,Yes,,,,,,,,Yes
295,THYROCARE,136415.0,614.0,No,No,No,Yes,,,,,,,,
296,TIMETECHNO,2279992.0,95.0,No,No,No,,Yes,21,Yes,,63,,,Yes
297,TITAN,852171.0,2613.0,Yes,No,No,,Yes,,,Yes,,,,
298,TRENT,233728.0,1347.0,Yes,No,No,Yes,,,,,,,,
299,TRIDENT,3503443.0,34.0,No,No,No,Yes,,,,,,,,
300,TRITURBINE,1218086.0,244.0,No,Yes,No,Yes,,,,Yes,,Yes,,
301,TRIVENI,338991.0,283.0,No,No,No,Yes,,,,,,,,
302,TTML,1173787.0,91.0,No,No,No,Yes,,,,,,,,
303,TV18BRDCST,3340255.0,37.0,No,No,No,Yes,,,,,,,,
304,TVSMOTOR,2199185.0,1041.0,Yes,No,No,Yes,,,,Yes,,,,
305,UCOBANK,70786050.0,32.0,No,No,No,Yes,,,,,,,,
306,UJJIVANSFB,11656713.0,30.0,No,No,No,Yes,,,,Yes,,,,Yes
307,UNIONBANK,20938395.0,82.0,No,No,No,Yes,,,,,,,,Yes
308,UPL,1276849.0,719.0,No,No,No,Yes,,,,,,Yes,,
309,USHAMART,3319139.0,190.0,No,No,No,,Yes,2510,Yes,,63,,,
310,UTIAMC,409959.0,846.0,No,No,Yes,Yes,,,,Yes,,,,
311,VAKRANGEE,1858049.0,28.0,No,No,No,Yes,,,,Yes,,,,Yes
312,VBL,782019.0,1306.0,Yes,Yes,Yes,Yes,,,,,,,,
313,VEDL,10676367.0,319.0,No,No,No,,Yes,126,Yes,,63,,,
314,VIJAYA,283127.0,414.0,No,No,No,Yes,,,,,,,,
315,VOLTAS,542997.0,808.0,No,No,No,Yes,,,,,,,,Yes
316,WELCORP,425148.0,233.0,No,No,No,Yes,,,,Yes,,,,
317,WELENT,1268435.0,169.0,No,No,No,Yes,,,Yes,,,,,
318,WELSPUNIND,412078.0,76.0,No,No,No,Yes,,,,,,,,
319,WIPRO,2996435.0,397.0,No,No,No,,,,,Yes,,,,Yes
320,WOCKPHARMA,2079993.0,229.0,No,No,No,Yes,,,Yes,,,,,
321,YESBANK,339684334.0,22.0,No,No,No,Yes,,,,Yes,63,,,Yes
322,ZEEL,5315656.0,240.0,No,No,No,Yes,,,,Yes,,,,
323,ZENSARTECH,533067.0,215.0,No,No,No,Yes,,,,,,,,Yes
324,ZOMATO,49691262.0,58.0,No,No,No,Yes,,,,Yes,,,,
