,Symbol,Volume,Current_Price,Engullfin,Trustinline,TweezerBottom,Bullish_Refine_Swing,Berish_Refine_Swing,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout,ObvBreakout,ObvBreakDown,DepressObvBreakout,Keltner_Channel,Chande_MO
138,CHOLAFIN,572611.0,728.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
139,CHOLAHLDNG,28441.0,559.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
140,CIGNITITEC,137027.0,566.0,,,,,,No,No,No,,DownTrend,,Yes,21,Yes,Yes,,,,,,,,
141,CIPLA,952186.0,1075.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
142,CLEAN,27729.0,1488.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
143,CMSINFO,194674.0,311.0,,,,,,No,Yes,No,No,UpTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 333,,,,,
144,COALINDIA,3639237.0,224.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
145,COCHINSHIP,1849378.0,534.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,,,Yes,,,,,Yes,,CMO less than -25 Sell Signal 
146,COFORGE,319379.0,4019.0,,,,,,No,Yes,No,No,DownTrend,,Yes,,Yes,Yes,,,,63,,,,
147,COLPAL,203428.0,1517.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,Yes,,,CMO less than -25 Sell Signal 
148,CONCOR,938716.0,744.0,,,,,,No,Yes,No,,DownTrend,Yes,,,Yes,Yes,,,,,,,,
149,CONFIPET,2903114.0,81.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,Yes,Yes,,,,,,,,
150,COROMANDEL,335342.0,900.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,
151,COSMOFIRST,54955.0,781.0,,,,,,No,No,No,,UpTrend,,Yes,,Yes,,Yes,,Before wait for breakout of resistance => 827,,,,,CMO > 25 and < 30 Strong Buy Signal => 25.38267018898951
152,CRAFTSMAN,64512.0,3574.0,,,,,,Yes,Yes,Yes,No,DownTrend,Yes,,,,,Yes,,,,,,False,
153,CREDITACC,67865.0,891.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,,,,,,,,
154,CRISIL,24349.0,2951.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,CMO greater than 25 Buy Signal 
155,CROMPTON,728383.0,347.0,,,,,,No,No,No,,DownTrend,,,,Yes,,Yes,,,,,,,
156,CSBBANK,7945756.0,251.0,,,,,,No,No,Yes,No,DownTrend,Yes,,,Yes,Yes,,Yes,,63,,,,CMO less than -25 Sell Signal 
157,CUB,1748655.0,178.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
158,CUMMINSIND,362933.0,1395.0,,,,,,Yes,Yes,Yes,No,DownTrend,Yes,,,Yes,,,,,,,,False,CMO less than -25 Sell Signal 
159,CYIENT,67779.0,820.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,
160,DAAWAT,1840762.0,119.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,Yes,Yes,,,,63,,,,
161,DABUR,904002.0,560.0,,,,,,No,No,No,,DownTrend,,,,,,,,,,,,,CMO less than -25 Sell Signal 
162,DALBHARAT,114481.0,1872.0,,,,,,No,Yes,Yes,No,DownTrend,Yes,,,,,Yes,,,,,,False,
163,DALMIASUG,98467.0,388.0,,,,,,No,No,Yes,Yes,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 418,,,,,
164,DATAMATICS,61330.0,283.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,
165,DATAPATTNS,103760.0,1138.0,,,,,,No,Yes,No,No,DownTrend,Yes,,,Yes,,,,,,,,,
166,DBL,1885371.0,223.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,Today wait for breakout of resistance => 223.39999389648438,63,,,,CMO less than -25 Sell Signal 
167,DBREALTY,166824.0,93.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
168,DCAL,723630.0,94.0,,,,,True,No,No,No,,UpTrend,Yes,,,,Yes,,,,,,,,
169,DCBBANK,2254201.0,130.0,,,,,,No,No,No,No,DownTrend,Yes,,,Yes,Yes,,,,,,,,
170,DCMSHRIRAM,8190.0,894.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 911,,,,,
171,DEEPAKFERT,338323.0,693.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
172,DEEPAKNTR,216823.0,1998.0,,,,,,No,Yes,No,,DownTrend,Yes,,,Yes,,,,,,,,,CMO less than -25 Sell Signal 
173,DELHIVERY,336541.0,337.0,,,,,,,No,No,,DownTrend,Yes,,,Yes,,,,,,,,,
174,DELTACORP,1761768.0,216.0,,,,,,No,No,No,,DownTrend,Yes,,,Yes,,Yes,,,,,,,
175,DEN,790527.0,35.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
176,DEVYANI,807308.0,177.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
177,DFMFOODS,128406.0,460.0,,,,,,No,No,Yes,No,DownTrend,,Yes,2510,,,Yes,,,63,,,,CMO greater than 25 Buy Signal 
178,DHANI,1909387.0,40.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
179,DHANUKA,6719.0,719.0,,,,,,No,No,No,No,DownTrend,Yes,,,,,Yes,,,,,,,
180,DISHTV,6908590.0,18.0,,,,,,No,No,No,No,DownTrend,Yes,,,Yes,,,,,,,,,
181,DIVISLAB,244582.0,3393.0,,,,,,No,No,Yes,,DownTrend,Yes,,,,,,,,,,Yes,,
182,DIXON,87250.0,3922.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,Yes,,
183,DLF,2002727.0,380.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
184,DMART,113960.0,4060.0,,,,,,No,No,Yes,,DownTrend,Yes,,,,,,,,,,,,
185,DOLATALGO,59805.0,63.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
186,DOLLAR,39130.0,426.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
187,DRREDDY,162147.0,4238.0,,,,,,No,Yes,No,,DownTrend,Yes,,,,,,,,,,Yes,,CMO less than -25 Sell Signal 
188,DWARKESH,2166452.0,105.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 106,,,,,
189,EASEMYTRIP,5275736.0,53.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,,,
190,ECLERX,15771.0,1278.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,CMO less than -25 Sell Signal 
191,EDELWEISS,1219959.0,64.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,,,,,,,,,
192,EICHERMOT,323223.0,3213.0,,,,,,Yes,No,No,,DownTrend,Yes,,,,,,,,,,,,
193,EIDPARRY,147697.0,575.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,,,,,,
194,EIHOTEL,314279.0,179.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
195,EKC,401557.0,100.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,Before wait for breakout of resistance => 101,,,Yes,,
196,ELECON,268739.0,373.0,,,,,,No,Yes,No,,DownTrend,Yes,,,,,Yes,,,,,,,CMO less than -25 Sell Signal 
197,ELECTCAST,1281589.0,39.0,,,,,,No,No,No,Yes,DownTrend,Yes,,,,Yes,,,,,,,,
198,ELGIEQUIP,213718.0,410.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 475,,,,,CMO less than -25 Sell Signal 
199,EMAMILTD,204904.0,429.0,,,,,,No,No,No,,DownTrend,Yes,,,,,Yes,,,,,,,
200,EMUDHRA,40562.0,309.0,,,,,,,No,No,,DownTrend,Yes,,,,,,,,,Yes,,,
201,ENDURANCE,8035.0,1381.0,,,,,,No,No,No,,DownTrend,Yes,,,,,,,Before wait for breakout of resistance => 1499,,,Yes,,CMO less than -25 Sell Signal 
202,ENGINERSIN,2027041.0,80.0,,,,,,No,No,No,No,DownTrend,Yes,,,Yes,,Yes,,,,,,,
