,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone
302,HINDWAREAP,241335.0,459.0,No,No,Yes,Yes,,,
303,HINDZINC,1353520.0,331.0,No,No,No,,Yes,2510,
304,HLEGLAS,13935.0,660.0,No,No,No,Yes,,,
305,HNDFDS,9781.0,613.0,No,Yes,No,Yes,,,
306,HOMEFIRST,42469.0,739.0,No,No,No,Yes,,,
307,HONAUT,2516.0,41044.0,No,Yes,Yes,,,,
308,HSCL,936990.0,99.0,No,No,No,Yes,,,
309,HUDCO,7581775.0,53.0,No,No,No,Yes,,,
310,IBREALEST,5365187.0,83.0,No,No,No,Yes,,,
311,IBULHSGFIN,13657223.0,150.0,No,No,No,Yes,,,
312,ICICIBANK,5846160.0,901.0,No,No,No,,,,
313,ICICIGI,1324002.0,1267.0,No,No,Yes,,Yes,63,
314,ICICIPRULI,4107703.0,468.0,No,No,No,,Yes,21,Yes
315,ICIL,1096602.0,141.0,No,No,No,,Yes,,
316,ICRA,29070.0,4929.0,Yes,Yes,Yes,Yes,,,
317,IDBI,10000026.0,55.0,No,No,No,Yes,,,
318,IDEA,108153946.0,7.0,No,No,No,Yes,,,
319,IDFC,7830025.0,84.0,No,No,No,Yes,,,Yes
320,IDFCFIRSTB,38932324.0,61.0,No,No,No,Yes,,,Yes
321,IEX,3717628.0,142.0,No,No,No,Yes,,,Yes
322,IFBIND,39846.0,935.0,No,No,No,Yes,,,
323,IFCI,20363250.0,14.0,No,No,No,Yes,,,
324,IGL,1123043.0,419.0,No,No,No,Yes,,,Yes
325,IGPL,32989.0,525.0,No,No,No,Yes,,,
326,IIFL,203160.0,466.0,No,Yes,Yes,Yes,,,
327,IIFLSEC,241607.0,66.0,No,No,No,Yes,,,Yes
328,IIFLWAM,37723.0,1775.0,No,Yes,No,Yes,,,
329,IMFA,234768.0,279.0,No,No,No,,Yes,63,
330,INDHOTEL,1658107.0,320.0,No,No,No,Yes,,,
331,INDIACEM,1735234.0,222.0,No,No,No,Yes,,,Yes
332,INDIAGLYCO,15947.0,775.0,No,No,No,Yes,,,
333,INDIAMART,20726.0,4351.0,No,No,No,Yes,,,Yes
334,INDIANB,1965006.0,296.0,No,Yes,No,Yes,,,Yes
335,INDIGO,321586.0,2040.0,No,No,Yes,Yes,,,
336,INDIGOPNTS,14222.0,1308.0,No,No,No,Yes,,,
337,INDOCO,75448.0,410.0,No,No,No,Yes,,,
338,INDORAMA,83926.0,59.0,No,No,No,Yes,,,Yes
339,INDOSTAR,35910.0,161.0,No,No,No,Yes,,,
340,INDUSINDBK,2194830.0,1240.0,No,No,Yes,,,,Yes
341,INDUSTOWER,878615.0,189.0,No,No,No,Yes,,,
342,INEOSSTYRO,51670.0,799.0,No,No,No,Yes,,,Yes
343,INFIBEAM,8684851.0,16.0,No,No,No,Yes,,,Yes
344,INFY,4550173.0,1522.0,No,Yes,No,,,,
345,INGERRAND,9777.0,1928.0,Yes,Yes,No,Yes,,,
346,INOXLEISUR,227093.0,497.0,No,No,No,Yes,,,
347,INOXWIND,289843.0,108.0,No,No,No,Yes,,,
348,INTELLECT,291810.0,447.0,No,No,No,Yes,,,
349,IOB,83019250.0,32.0,No,No,No,Yes,,,
350,IOC,11485237.0,78.0,No,No,No,,Yes,,Yes
351,IOLCP,637241.0,371.0,No,No,Yes,Yes,,,
352,IONEXCHANG,14257.0,2777.0,No,Yes,Yes,Yes,,,
353,IPCALAB,239475.0,849.0,No,No,No,Yes,,,
354,IPL,82962.0,249.0,No,No,No,Yes,,,
355,IRB,8845505.0,314.0,No,No,Yes,Yes,,,Yes
356,IRCON,10154060.0,60.0,No,No,No,Yes,,,
357,IRCTC,2364166.0,644.0,No,No,No,Yes,,,Yes
358,IRFC,84788891.0,33.0,No,No,No,Yes,,,Yes
359,ISEC,237532.0,502.0,No,No,No,Yes,,,
360,ISGEC,60871.0,479.0,No,No,No,Yes,,,
361,ITC,5993839.0,331.0,No,No,No,,,,
362,ITI,196896.0,105.0,No,No,No,Yes,,,
363,J&KBANK,10545221.0,57.0,No,No,No,,,,Yes
364,JAICORPLTD,1140281.0,151.0,No,No,No,Yes,,,
365,JAMNAAUTO,255745.0,105.0,No,No,No,Yes,,,Yes
366,JBCHEPHARM,20798.0,1982.0,No,Yes,No,Yes,,,Yes
367,JBMA,236029.0,517.0,No,No,Yes,Yes,,,
368,JCHAC,54882.0,1139.0,No,No,No,Yes,,,Yes
369,JINDALPOLY,41604.0,783.0,No,No,No,Yes,,,
370,JINDALSAW,4025162.0,110.0,No,No,No,,Yes,189,
371,JINDALSTEL,4002411.0,598.0,No,Yes,Yes,,Yes,2510,
372,JINDWORLD,106760.0,435.0,No,Yes,Yes,Yes,,,Yes
373,JISLJALEQS,1127306.0,33.0,No,No,No,Yes,,,
374,JKCEMENT,54911.0,2964.0,No,Yes,Yes,Yes,,,Yes
375,JKIL,175916.0,283.0,No,No,No,Yes,,,Yes
376,JKLAKSHMI,305543.0,787.0,No,Yes,Yes,Yes,,,
377,JKPAPER,358105.0,416.0,No,No,No,Yes,,,
378,JKTYRE,669066.0,188.0,No,No,No,Yes,,,Yes
379,JMFINANCIL,888856.0,73.0,No,No,No,Yes,,,
380,JPASSOCIAT,14348284.0,10.0,No,No,No,Yes,,,
381,JPPOWER,37452508.0,7.0,No,No,No,Yes,,,
382,JSL,2168528.0,248.0,No,Yes,Yes,Yes,,,
383,JSWENERGY,365468.0,289.0,No,No,No,Yes,,,
384,JSWISPL,690505.0,32.0,No,No,No,Yes,,,
385,JSWSTEEL,1635609.0,767.0,No,Yes,Yes,Yes,,,
386,JUBLFOOD,1233620.0,507.0,No,No,No,Yes,,,
387,JUBLINGREA,154775.0,534.0,No,No,No,Yes,,,
388,JUBLPHARMA,165933.0,359.0,No,Yes,No,Yes,,,
389,JUSTDIAL,97688.0,601.0,No,No,No,Yes,,,
390,JYOTHYLAB,131924.0,204.0,No,No,No,,,,
391,KAJARIACER,40171.0,1150.0,No,No,Yes,Yes,,,
392,KALPATPOWR,275518.0,569.0,No,Yes,Yes,,Yes,2510,
393,KALYANKJIL,2285043.0,124.0,No,No,Yes,Yes,,,
394,KANSAINER,141964.0,428.0,No,No,No,,,,
395,KARURVYSYA,7275003.0,112.0,No,No,No,Yes,,,
396,KCP,89772.0,113.0,No,No,No,Yes,,,
397,KEC,306544.0,474.0,No,No,Yes,Yes,,,
398,KEI,115418.0,1515.0,Yes,Yes,No,Yes,,,Yes
399,KENNAMET,6698.0,2294.0,Yes,No,No,Yes,,,Yes
400,KIMS,26499.0,1507.0,No,Yes,No,Yes,,,
401,KIRIINDUS,38867.0,471.0,No,No,No,Yes,,,
402,KIRLFER,205184.0,365.0,No,Yes,Yes,,Yes,2510,
403,KIRLOSENG,184052.0,316.0,No,Yes,No,Yes,,,
404,KNRCON,592453.0,266.0,No,No,No,Yes,,,Yes
405,KOLTEPATIL,105649.0,269.0,No,No,No,Yes,,,
406,KOTAKBANK,1663289.0,1832.0,No,No,No,,,,
407,KPITTECH,523379.0,691.0,No,Yes,No,Yes,,,
408,KPRMILL,171327.0,517.0,No,No,No,Yes,,,
409,KRBL,184542.0,393.0,No,Yes,No,Yes,,,
