,Symbol,Volume,Current_Price,200SMATrend,50SMATrend,20SMATrend,RsiOutperformNifty,RsiComparatorTreand,ConsolNarrowRange,BreakoutNarrowRange,BreakoutWideRange,LifeTimeHighZone,VPConvergence,VPDivergence,SellingClimax,PickVolumeBreakout,ObvBreakout,ObvBreakDown,DepressObvBreakout
255,GRAPHITE,457363.0,384.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 390,,,
256,GRASIM,546467.0,1717.0,No,Yes,Yes,,,,,,,,Yes,,,,,
257,GRAVITA,131984.0,449.0,No,Yes,Yes,,,,,,,,Yes,,,,,
258,GREAVESCOT,852027.0,137.0,No,No,No,,,,,,,,Yes,,,,,
259,GREENPANEL,146602.0,341.0,No,No,No,,,,,,,,Yes,,,,,
260,GREENPLY,53451.0,146.0,No,No,No,,,,,,,,,,,,,
261,GRINDWELL,51122.0,1847.0,Yes,No,No,,,,,,,,,,,,,
262,GRINFRA,11051.0,1178.0,No,No,No,,,,,,,,Yes,,,,,
263,GRSE,1734760.0,492.0,No,Yes,No,,,,,,,Yes,,,,,,
264,GRWRHITECH,10628.0,670.0,No,No,No,,,,,,,,,,,,,
265,GSFC,2252791.0,139.0,No,No,No,,,,,,,,Yes,,,,,
266,GSPL,286139.0,272.0,No,No,No,,,,,,,,Yes,,,,,
267,GTLINFRA,10357178.0,1.0,No,No,No,,,,,,,,,,,,,
268,GUFICBIO,86881.0,225.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 230,,,
269,GUJALKALI,102507.0,778.0,Yes,No,No,,,,,,,Yes,,,,21,,
270,GUJGASLTD,866133.0,490.0,No,No,No,,,,,,,,,,,,,
271,GULFOILLUB,20160.0,432.0,No,No,No,,,,,,,,,,,,,
272,HAL,554863.0,2539.0,Yes,Yes,No,,,,,,,,,,,,,
273,HAPPSTMNDS,170916.0,887.0,No,No,No,,,,,,,,,,,,,
274,HATHWAY,2313547.0,17.0,No,No,No,,,,,,,,,,Before wait for breakout of resistance => 19,,,
275,HATSUN,39040.0,899.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 941,,,
276,HAVELLS,998602.0,1127.0,No,No,No,,,,,,,,Yes,,,,,
277,HBLPOWER,1551055.0,105.0,No,No,No,,,,,,,,Yes,,,,,
278,HCC,45280324.0,21.0,No,No,No,,,,,,,,Yes,,,63,,
279,HCG,42616.0,284.0,No,No,No,,,,,,,,,,,,Yes,
280,HCLTECH,2484318.0,1041.0,No,Yes,No,,,,,,,Yes,,,,,,
281,HDFC,2262442.0,2664.0,No,Yes,No,,,,,,,,Yes,,,,,
282,HDFCAMC,169501.0,2189.0,No,Yes,Yes,,,,,,,,,,Before wait for breakout of resistance => 2273,,,
283,HDFCBANK,4187907.0,1639.0,No,Yes,Yes,,,,,,,,Yes,,,,,
284,HDFCLIFE,10092755.0,595.0,No,No,No,,,,,,,Yes,,,,21,,
285,HEG,306628.0,1077.0,No,No,No,,,,,,,Yes,,,,,,
286,HEIDELBERG,102163.0,189.0,No,No,No,,,,,,,,,,,,,
287,HEMIPROP,1672077.0,112.0,No,No,No,,,,,,,Yes,,,Before wait for breakout of resistance => 113,,,
288,HERANBA,23167.0,500.0,No,No,No,,,,,,,,,,,,,
289,HERITGFOOD,179589.0,371.0,No,No,Yes,,,,,,,Yes,,,,,,
290,HEROMOTOCO,136699.0,2720.0,No,No,No,,,,,,,,,,,,,
291,HFCL,9278764.0,76.0,No,No,No,,,,,,,,,,,,,
292,HGINFRA,325830.0,639.0,No,No,No,,,,,,,Yes,,,,,,
293,HGS,14436.0,1336.0,No,No,Yes,,,,,,,,,,,,,
294,HIKAL,3993225.0,416.0,No,No,Yes,,,,,,,Yes,,,,63,,
295,HIL,8684.0,2716.0,No,No,Yes,,,,,,,Yes,,,,,,
296,HIMATSEIDE,863440.0,83.0,No,No,No,,,,,,,,Yes,,,,,
297,HINDALCO,5903712.0,479.0,No,No,No,,,,,,,,Yes,,,,,
298,HINDCOPPER,4397378.0,116.0,No,No,No,,,,,,,Yes,,,,,,
299,HINDOILEXP,168151.0,139.0,No,No,No,,,,,,,,Yes,,,,,
300,HINDPETRO,1689575.0,237.0,No,No,No,,,,,,,,Yes,,,,,
301,HINDUNILVR,821537.0,2542.0,No,No,Yes,,,,,,,,,,,,Yes,
302,HINDWAREAP,241335.0,459.0,No,No,Yes,,,,,,,Yes,,,,,,
303,HINDZINC,1353520.0,331.0,No,No,No,,,,,,,Yes,,,,63,,
304,HLEGLAS,13935.0,660.0,No,No,No,,,,,,,,Yes,,Before wait for breakout of resistance => 689,,,
305,HNDFDS,9781.0,613.0,No,Yes,No,,,,,,,,,,,,,
306,HOMEFIRST,42469.0,739.0,No,No,No,,,,,,,,Yes,,,,,
307,HONAUT,2516.0,41044.0,No,Yes,Yes,,,,,,,,,,,,,
